Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
31,Leverkusen,de Bundesliga,27,"€ 1,093,019 (£ 916,506, $1,113,909)","€ 56,837,000 (£ 47,658,301, $57,923,248)",100%,2017-2018
32,Watford,eng Premier League,37,"€ 1,065,878 (£ 893,769, $1,086,127)","€ 55,425,638 (£ 46,476,000, $56,478,625)",100%,2017-2018
33,Marseille,fr Ligue 1,29,"€ 1,005,423 (£ 843,056, $1,024,638)","€ 52,282,000 (£ 43,838,893, $53,281,198)",100%,2017-2018
34,Bournemouth,eng Premier League,37,"€ 987,558 (£ 828,096, $1,006,320)","€ 51,353,032 (£ 43,061,000, $52,328,645)",100%,2017-2018
35,Newcastle Utd,eng Premier League,37,"€ 968,248 (£ 811,904, $986,643)","€ 50,348,890 (£ 42,219,000, $51,305,427)",100%,2017-2018
36,Brighton,eng Premier League,43,"€ 915,271 (£ 767,481, $932,659)","€ 47,594,066 (£ 39,909,000, $48,498,265)",100%,2017-2018
37,Gladbach,de Bundesliga,35,"€ 859,173 (£ 720,424, $875,593)","€ 44,677,000 (£ 37,462,041, $45,530,856)",100%,2017-2018
38,RB Leipzig,de Bundesliga,28,"€ 815,481 (£ 683,787, $831,066)","€ 42,405,000 (£ 35,556,948, $43,215,431)",100%,2017-2018
39,Celta Vigo,es La Liga,66,"€ 809,442 (£ 678,724, $824,912)","€ 42,091,000 (£ 35,293,656, $42,895,429)",100%,2017-2018
40,Schalke 04,de Bundesliga,29,"€ 801,500 (£ 672,064, $816,818)","€ 41,678,000 (£ 34,947,350, $42,474,540)",100%,2017-2018
41,Real Sociedad,es La Liga,30,"€ 798,365 (£ 669,436, $813,623)","€ 41,515,000 (£ 34,810,672, $42,308,420)",100%,2017-2018
42,Athletic Club,es La Liga,33,"€ 760,712 (£ 637,863, $775,250)","€ 39,557,000 (£ 33,168,876, $40,313,004)",100%,2017-2018
43,Burnley,eng Premier League,30,"€ 746,660 (£ 626,096, $760,845)","€ 38,826,329 (£ 32,557,000, $39,563,962)",100%,2017-2018
44,Hoffenheim,de Bundesliga,36,"€ 746,250 (£ 625,737, $760,512)","€ 38,805,000 (£ 32,538,318, $39,546,630)",100%,2017-2018
45,Lyon,fr Ligue 1,34,"€ 712,942 (£ 597,808, $726,568)","€ 37,073,000 (£ 31,086,023, $37,781,525)",100%,2017-2018
