Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
75,Saint-Étienne,fr Ligue 1,91,"€ 390,962 (£ 327,825, $398,434)","€ 20,330,000 (£ 17,046,876, $20,718,543)",90%,2021-2022
76,Cádiz,es La Liga,89,"€ 383,654 (£ 321,697, $390,986)","€ 19,950,000 (£ 16,728,242, $20,331,279)",97%,2021-2022
77,Levante,es La Liga,83,"€ 375,865 (£ 315,166, $383,049)","€ 19,545,000 (£ 16,388,647, $19,918,540)",100%,2021-2022
78,Elche,es La Liga,73,"€ 371,442 (£ 311,458, $378,541)","€ 19,315,000 (£ 16,195,792, $19,684,141)",93%,2021-2022
79,Nantes,fr Ligue 1,84,"€ 365,192 (£ 306,217, $372,172)","€ 18,990,000 (£ 15,923,278, $19,352,931)",37%,2021-2022
80,Mainz 05,de Bundesliga,81,"€ 330,385 (£ 277,030, $336,699)","€ 17,180,000 (£ 14,405,575, $17,508,339)",96%,2021-2022
81,Osasuna,es La Liga,80,"€ 325,000 (£ 272,515, $331,211)","€ 16,900,000 (£ 14,170,790, $17,222,987)",100%,2021-2022
82,Spezia,it Serie A,89,"€ 318,462 (£ 267,033, $324,548)","€ 16,560,000 (£ 13,885,700, $16,876,489)",33%,2021-2022
83,Stuttgart,de Bundesliga,97,"€ 302,692 (£ 253,810, $308,477)","€ 15,740,000 (£ 13,198,121, $16,040,818)",97%,2021-2022
84,Strasbourg,fr Ligue 1,77,"€ 265,962 (£ 223,011, $271,045)","€ 13,830,000 (£ 11,596,569, $14,094,315)",81%,2021-2022
85,Bochum,de Bundesliga,91,"€ 259,808 (£ 217,851, $264,773)","€ 13,510,000 (£ 11,328,246, $13,768,197)",100%,2021-2022
86,Greuther Fürth,de Bundesliga,92,"€ 244,231 (£ 204,790, $248,898)","€ 12,700,000 (£ 10,649,056, $12,942,721)",98%,2021-2022
87,Montpellier,fr Ligue 1,75,"€ 236,923 (£ 198,662, $241,451)","€ 12,320,000 (£ 10,330,424, $12,555,455)",88%,2021-2022
88,Angers,fr Ligue 1,81,"€ 233,654 (£ 195,921, $238,119)","€ 12,150,000 (£ 10,187,876, $12,382,204)",83%,2021-2022
89,Freiburg,de Bundesliga,78,"€ 231,154 (£ 193,824, $235,572)","€ 12,020,000 (£ 10,078,872, $12,249,724)",100%,2021-2022
90,Troyes,fr Ligue 1,105,"€ 206,346 (£ 173,023, $210,290)","€ 10,730,000 (£ 8,997,193, $10,935,068)",91%,2021-2022
91,Reims,fr Ligue 1,84,"€ 204,615 (£ 171,572, $208,526)","€ 10,640,000 (£ 8,921,728, $10,843,344)",76%,2021-2022
92,Rayo Vallecano,es La Liga,76,"€ 204,519 (£ 171,491, $208,428)","€ 10,635,000 (£ 8,917,536, $10,838,253)",96%,2021-2022
93,Arminia,de Bundesliga,76,"€ 204,423 (£ 171,411, $208,330)","€ 10,630,000 (£ 8,913,347, $10,833,157)",99%,2021-2022
94,Brest,fr Ligue 1,80,"€ 201,346 (£ 168,830, $205,194)","€ 10,470,000 (£ 8,779,184, $10,670,099)",86%,2021-2022
95,Metz,fr Ligue 1,96,"€ 197,115 (£ 165,283, $200,883)","€ 10,250,000 (£ 8,594,711, $10,445,894)",88%,2021-2022
96,Lens,fr Ligue 1,80,"€ 189,423 (£ 158,833, $193,043)","€ 9,850,000 (£ 8,259,307, $10,038,249)",96%,2021-2022
97,Lorient,fr Ligue 1,85,"€ 173,269 (£ 145,288, $176,581)","€ 9,010,000 (£ 7,554,961, $9,182,194)",96%,2021-2022
98,Clermont Foot,fr Ligue 1,89,"€ 92,692 (£ 77,723, $94,464)","€ 4,820,000 (£ 4,041,608, $4,912,120)",93%,2021-2022
1,Paris S-G,fr Ligue 1,61,"€ 6,953,654 (£ 5,982,300, $7,603,546)","€ 361,590,000 (£ 311,079,619, $395,384,417)",26%,2022-2023
2,Real Madrid,es La Liga,46,"€ 5,595,192 (£ 4,813,602, $6,118,122)","€ 290,950,000 (£ 250,307,293, $318,142,363)",7%,2022-2023
3,Barcelona,es La Liga,49,"€ 5,163,654 (£ 4,442,345, $5,646,252)","€ 268,510,000 (£ 231,001,931, $293,605,104)",23%,2022-2023
4,Manchester Utd,eng Premier League,92,"€ 5,108,040 (£ 4,394,500, $5,585,441)","€ 265,618,093 (£ 228,514,000, $290,442,939)",18%,2022-2023
5,Bayern Munich,de Bundesliga,51,"€ 5,047,500 (£ 4,342,417, $5,519,242)","€ 262,470,000 (£ 225,805,658, $287,000,606)",18%,2022-2023
6,Manchester City,eng Premier League,70,"€ 4,353,080 (£ 3,745,000, $4,759,922)","€ 226,360,165 (£ 194,740,000, $247,515,941)",13%,2022-2023
7,Chelsea,eng Premier League,86,"€ 4,248,467 (£ 3,655,000, $4,645,531)","€ 220,920,267 (£ 190,060,000, $241,567,629)",16%,2022-2023
8,Liverpool,eng Premier League,86,"€ 3,620,786 (£ 3,115,000, $3,959,187)","€ 188,280,884 (£ 161,980,000, $205,877,743)",29%,2022-2023
9,Juventus,it Serie A,89,"€ 3,141,731 (£ 2,702,864, $3,435,359)","€ 163,370,000 (£ 140,548,904, $178,638,659)",10%,2022-2023
10,Atlético Madrid,es La Liga,45,"€ 2,908,269 (£ 2,502,014, $3,180,078)","€ 151,230,000 (£ 130,104,733, $165,364,046)",32%,2022-2023
11,Inter,it Serie A,80,"€ 2,580,000 (£ 2,219,601, $2,821,128)","€ 134,160,000 (£ 115,419,238, $146,698,674)",3%,2022-2023
12,Tottenham,eng Premier League,79,"€ 2,443,885 (£ 2,102,500, $2,672,293)","€ 127,082,044 (£ 109,330,000, $138,959,216)",29%,2022-2023
13,Dortmund,de Bundesliga,64,"€ 2,356,154 (£ 2,027,024, $2,576,361)","€ 122,520,000 (£ 105,405,225, $133,970,796)",68%,2022-2023
14,Arsenal,eng Premier League,69,"€ 2,272,436 (£ 1,955,000, $2,484,819)","€ 118,166,655 (£ 101,660,000, $129,210,591)",7%,2022-2023
15,Aston Villa,eng Premier League,81,"€ 2,249,188 (£ 1,935,000, $2,459,399)","€ 116,957,789 (£ 100,620,000, $127,888,743)",23%,2022-2023
16,Everton,eng Premier League,80,"€ 1,895,827 (£ 1,631,000, $2,073,013)","€ 98,583,027 (£ 84,812,000, $107,796,661)",45%,2022-2023
17,Newcastle Utd,eng Premier League,86,"€ 1,851,657 (£ 1,593,000, $2,024,714)","€ 96,286,181 (£ 82,836,000, $105,285,152)",21%,2022-2023
18,West Ham,eng Premier League,69,"€ 1,842,358 (£ 1,585,000, $2,014,546)","€ 95,802,637 (£ 82,420,000, $104,756,412)",17%,2022-2023
19,Roma,it Serie A,84,"€ 1,799,423 (£ 1,548,062, $1,967,598)","€ 93,570,000 (£ 80,499,239, $102,315,108)",9%,2022-2023
20,RB Leipzig,de Bundesliga,50,"€ 1,796,538 (£ 1,545,581, $1,964,444)","€ 93,420,000 (£ 80,370,193, $102,151,090)",28%,2022-2023
21,Leicester City,eng Premier League,81,"€ 1,760,992 (£ 1,515,000, $1,925,576)","€ 91,571,604 (£ 78,780,000, $100,129,945)",31%,2022-2023
22,Milan,it Serie A,92,"€ 1,602,885 (£ 1,378,978, $1,752,691)","€ 83,350,000 (£ 71,706,865, $91,139,939)",3%,2022-2023
23,Crystal Palace,eng Premier League,73,"€ 1,493,647 (£ 1,285,000, $1,633,244)","€ 77,669,646 (£ 66,820,000, $84,928,703)",48%,2022-2023
24,Sevilla,es La Liga,52,"€ 1,421,731 (£ 1,223,130, $1,554,607)","€ 73,930,000 (£ 63,602,745, $80,839,544)",59%,2022-2023
25,Napoli,it Serie A,78,"€ 1,332,038 (£ 1,145,966, $1,456,532)","€ 69,266,000 (£ 59,590,254, $75,739,644)",6%,2022-2023
26,Marseille,fr Ligue 1,49,"€ 1,317,308 (£ 1,133,293, $1,440,424)","€ 68,500,000 (£ 58,931,259, $74,902,052)",43%,2022-2023
27,Lazio,it Serie A,76,"€ 1,280,000 (£ 1,101,197, $1,399,630)","€ 66,560,000 (£ 57,262,256, $72,780,740)",0%,2022-2023
28,Athletic Club,es La Liga,49,"€ 1,219,038 (£ 1,048,751, $1,332,971)","€ 63,390,000 (£ 54,535,073, $69,314,466)",74%,2022-2023
29,Fulham,eng Premier League,72,"€ 1,214,678 (£ 1,045,000, $1,328,203)","€ 63,163,251 (£ 54,340,000, $69,066,531)",42%,2022-2023
30,Nott'ham Forest,eng Premier League,107,"€ 1,194,336 (£ 1,027,500, $1,305,960)","€ 62,105,496 (£ 53,430,000, $67,909,914)",65%,2022-2023
31,Wolves,eng Premier League,87,"€ 1,166,440 (£ 1,003,500, $1,275,456)","€ 60,654,855 (£ 52,182,000, $66,323,698)",59%,2022-2023
32,Monaco,fr Ligue 1,52,"€ 1,127,500 (£ 970,000, $1,232,877)","€ 58,630,000 (£ 50,439,998, $64,109,595)",69%,2022-2023
33,Southampton,eng Premier League,77,"€ 1,107,740 (£ 953,000, $1,211,270)","€ 57,602,471 (£ 49,556,000, $62,986,030)",58%,2022-2023
34,Leeds United,eng Premier League,78,"€ 1,103,672 (£ 949,500, $1,206,821)","€ 57,390,918 (£ 49,374,000, $62,754,708)",70%,2022-2023
35,Leverkusen,de Bundesliga,57,"€ 1,102,500 (£ 948,492, $1,205,540)","€ 57,330,000 (£ 49,321,593, $62,688,098)",64%,2022-2023
36,Villarreal,es La Liga,47,"€ 1,042,308 (£ 896,708, $1,139,722)","€ 54,200,000 (£ 46,628,820, $59,265,566)",66%,2022-2023
37,Fiorentina,it Serie A,83,"€ 1,021,154 (£ 878,509, $1,116,592)","€ 53,100,000 (£ 45,682,480, $58,062,759)",0%,2022-2023
38,Lyon,fr Ligue 1,50,"€ 998,269 (£ 858,821, $1,091,568)","€ 51,910,000 (£ 44,658,710, $56,761,542)",54%,2022-2023
39,Gladbach,de Bundesliga,55,"€ 919,231 (£ 790,824, $1,005,143)","€ 47,800,000 (£ 41,122,838, $52,267,419)",81%,2022-2023
40,Valencia,es La Liga,48,"€ 915,769 (£ 787,846, $1,001,358)","€ 47,620,000 (£ 40,967,979, $52,070,594)",77%,2022-2023
41,Bournemouth,eng Premier League,83,"€ 858,992 (£ 739,000, $939,274)","€ 44,667,602 (£ 38,428,000, $48,842,265)",55%,2022-2023
42,Brighton,eng Premier League,70,"€ 857,830 (£ 738,000, $938,003)","€ 44,607,160 (£ 38,376,000, $48,776,174)",69%,2022-2023
43,Wolfsburg,de Bundesliga,52,"€ 856,538 (£ 736,889, $936,591)","€ 44,540,000 (£ 38,318,223, $48,702,736)",92%,2022-2023
44,Betis,es La Liga,52,"€ 831,538 (£ 715,381, $909,255)","€ 43,240,000 (£ 37,199,820, $47,281,235)",75%,2022-2023
45,Nice,fr Ligue 1,51,"€ 828,846 (£ 713,065, $906,311)","€ 43,100,000 (£ 37,079,377, $47,128,154)",80%,2022-2023
46,Real Sociedad,es La Liga,52,"€ 828,462 (£ 712,734, $905,890)","€ 43,080,000 (£ 37,062,168, $47,106,283)",85%,2022-2023
47,Monza,it Serie A,105,"€ 800,135 (£ 688,364, $874,916)","€ 41,607,000 (£ 35,794,934, $45,495,612)",70%,2022-2023
48,Atalanta,it Serie A,75,"€ 785,327 (£ 675,625, $858,724)","€ 40,837,000 (£ 35,132,491, $44,653,651)",16%,2022-2023
49,Hoffenheim,de Bundesliga,59,"€ 725,769 (£ 624,387, $793,600)","€ 37,740,000 (£ 32,468,116, $41,267,203)",93%,2022-2023
50,Brentford,eng Premier League,75,"€ 718,346 (£ 618,000, $785,482)","€ 37,353,966 (£ 32,136,000, $40,845,084)",75%,2022-2023
51,Schalke 04,de Bundesliga,60,"€ 686,154 (£ 590,305, $750,282)","€ 35,680,000 (£ 30,695,875, $39,014,674)",95%,2022-2023
52,Torino,it Serie A,79,"€ 675,577 (£ 581,206, $738,717)","€ 35,130,000 (£ 30,222,705, $38,413,271)",16%,2022-2023
53,Getafe,es La Liga,48,"€ 656,058 (£ 564,413, $717,373)","€ 34,115,000 (£ 29,349,490, $37,303,408)",94%,2022-2023
54,Eint Frankfurt,de Bundesliga,59,"€ 653,077 (£ 561,849, $714,114)","€ 33,960,000 (£ 29,216,138, $37,133,920)",84%,2022-2023
55,Hertha BSC,de Bundesliga,58,"€ 642,692 (£ 552,915, $702,759)","€ 33,420,000 (£ 28,751,576, $36,543,455)",95%,2022-2023
56,Bologna,it Serie A,86,"€ 634,462 (£ 545,834, $693,759)","€ 32,992,000 (£ 28,383,357, $36,075,452)",37%,2022-2023
57,Salernitana,it Serie A,87,"€ 633,962 (£ 545,404, $693,212)","€ 32,966,000 (£ 28,360,990, $36,047,023)",49%,2022-2023
58,Celta Vigo,es La Liga,43,"€ 615,000 (£ 529,091, $672,478)","€ 31,980,000 (£ 27,512,725, $34,968,871)",88%,2022-2023
59,Rennes,fr Ligue 1,53,"€ 597,692 (£ 514,201, $653,553)","€ 31,080,000 (£ 26,738,444, $33,984,757)",76%,2022-2023
60,Sassuolo,it Serie A,84,"€ 596,846 (£ 513,473, $652,628)","€ 31,036,000 (£ 26,700,590, $33,936,646)",25%,2022-2023
61,Empoli,it Serie A,80,"€ 517,231 (£ 444,979, $565,571)","€ 26,896,000 (£ 23,138,908, $29,409,716)",33%,2022-2023
62,Lille,fr Ligue 1,45,"€ 511,923 (£ 440,413, $559,768)","€ 26,620,000 (£ 22,901,460, $29,107,921)",80%,2022-2023
63,Sampdoria,it Serie A,88,"€ 507,231 (£ 436,376, $554,637)","€ 26,376,000 (£ 22,691,547, $28,841,118)",33%,2022-2023
64,Augsburg,de Bundesliga,62,"€ 501,346 (£ 431,313, $548,202)","€ 26,070,000 (£ 22,428,292, $28,506,518)",93%,2022-2023
65,Espanyol,es La Liga,48,"€ 478,654 (£ 411,791, $523,389)","€ 24,890,000 (£ 21,413,123, $27,216,235)",86%,2022-2023
66,Werder Bremen,de Bundesliga,53,"€ 453,654 (£ 390,283, $496,053)","€ 23,590,000 (£ 20,294,723, $25,794,737)",100%,2022-2023
67,Spezia,it Serie A,87,"€ 417,885 (£ 359,510, $456,940)","€ 21,730,000 (£ 18,694,543, $23,760,902)",33%,2022-2023
68,Köln,de Bundesliga,61,"€ 411,154 (£ 353,720, $449,581)","€ 21,380,000 (£ 18,393,434, $23,378,187)",96%,2022-2023
69,Mainz 05,de Bundesliga,55,"€ 410,577 (£ 353,224, $448,950)","€ 21,350,000 (£ 18,367,626, $23,345,385)",96%,2022-2023
70,Hellas Verona,it Serie A,89,"€ 408,462 (£ 351,404, $446,637)","€ 21,240,000 (£ 18,272,994, $23,225,100)",45%,2022-2023
71,Union Berlin,de Bundesliga,56,"€ 392,885 (£ 338,003, $429,604)","€ 20,430,000 (£ 17,576,141, $22,339,400)",100%,2022-2023
72,Cremonese,it Serie A,88,"€ 391,846 (£ 337,109, $428,468)","€ 20,376,000 (£ 17,529,688, $22,280,354)",26%,2022-2023
73,Udinese,it Serie A,76,"€ 385,231 (£ 331,418, $421,235)","€ 20,032,000 (£ 17,233,735, $21,904,205)",42%,2022-2023
74,Freiburg,de Bundesliga,54,"€ 376,731 (£ 324,105, $411,940)","€ 19,590,000 (£ 16,853,482, $21,420,895)",96%,2022-2023
75,Valladolid,es La Liga,48,"€ 363,750 (£ 312,938, $397,746)","€ 18,915,000 (£ 16,272,769, $20,682,808)",93%,2022-2023
76,Nantes,fr Ligue 1,53,"€ 363,462 (£ 312,690, $397,431)","€ 18,900,000 (£ 16,259,867, $20,666,403)",50%,2022-2023
77,Mallorca,es La Liga,51,"€ 350,769 (£ 301,770, $383,552)","€ 18,240,000 (£ 15,692,061, $19,944,720)",92%,2022-2023
78,Osasuna,es La Liga,43,"€ 339,519 (£ 292,092, $371,251)","€ 17,655,000 (£ 15,188,780, $19,305,048)",100%,2022-2023
79,Cádiz,es La Liga,55,"€ 335,385 (£ 288,535, $366,730)","€ 17,440,000 (£ 15,003,809, $19,069,955)",98%,2022-2023
80,Girona,es La Liga,50,"€ 332,981 (£ 286,467, $364,101)","€ 17,315,000 (£ 14,896,274, $18,933,270)",96%,2022-2023
81,Elche,es La Liga,48,"€ 325,288 (£ 279,849, $355,690)","€ 16,915,000 (£ 14,552,148, $18,495,887)",93%,2022-2023
82,Troyes,fr Ligue 1,55,"€ 322,500 (£ 277,450, $352,641)","€ 16,770,000 (£ 14,427,406, $18,337,331)",56%,2022-2023
83,Lecce,it Serie A,87,"€ 317,808 (£ 273,413, $347,510)","€ 16,526,000 (£ 14,217,491, $18,070,531)",39%,2022-2023
84,Stuttgart,de Bundesliga,54,"€ 309,615 (£ 266,365, $338,552)","€ 16,100,000 (£ 13,850,995, $17,604,715)",94%,2022-2023
85,Bochum,de Bundesliga,56,"€ 301,923 (£ 259,748, $330,141)","€ 15,700,000 (£ 13,506,876, $17,167,333)",98%,2022-2023
86,Angers,fr Ligue 1,60,"€ 298,846 (£ 257,100, $326,777)","€ 15,540,000 (£ 13,369,224, $16,992,378)",89%,2022-2023
87,Montpellier,fr Ligue 1,56,"€ 283,077 (£ 243,534, $309,533)","€ 14,720,000 (£ 12,663,770, $16,095,738)",93%,2022-2023
88,Almería,es La Liga,55,"€ 268,558 (£ 231,043, $293,657)","€ 13,965,000 (£ 12,014,235, $15,270,179)",100%,2022-2023
89,Strasbourg,fr Ligue 1,51,"€ 262,308 (£ 225,666, $286,823)","€ 13,640,000 (£ 11,734,633, $14,914,801)",71%,2022-2023
90,Rayo Vallecano,es La Liga,51,"€ 243,462 (£ 209,453, $266,216)","€ 12,660,000 (£ 10,891,530, $13,843,212)",84%,2022-2023
91,Reims,fr Ligue 1,47,"€ 242,500 (£ 208,625, $265,164)","€ 12,610,000 (£ 10,848,510, $13,788,538)",51%,2022-2023
92,Brest,fr Ligue 1,50,"€ 219,423 (£ 188,772, $239,931)","€ 11,410,000 (£ 9,816,144, $12,476,387)",66%,2022-2023
93,Lens,fr Ligue 1,55,"€ 215,385 (£ 185,298, $235,515)","€ 11,200,000 (£ 9,635,475, $12,246,760)",100%,2022-2023
94,Auxerre,fr Ligue 1,62,"€ 203,462 (£ 175,040, $222,477)","€ 10,580,000 (£ 9,102,086, $11,568,813)",93%,2022-2023
95,Lorient,fr Ligue 1,49,"€ 164,615 (£ 141,620, $180,000)","€ 8,560,000 (£ 7,364,257, $9,360,025)",98%,2022-2023
96,Toulouse,fr Ligue 1,47,"€ 153,077 (£ 131,694, $167,384)","€ 7,960,000 (£ 6,848,069, $8,703,946)",90%,2022-2023
97,Clermont Foot,fr Ligue 1,48,"€ 134,038 (£ 115,315, $146,566)","€ 6,970,000 (£ 5,996,361, $7,621,419)",100%,2022-2023
98,Ajaccio,fr Ligue 1,61,"€ 124,615 (£ 107,208, $136,262)","€ 6,480,000 (£ 5,574,810, $7,085,621)",98%,2022-2023
1,Paris S-G,fr Ligue 1,56,"€ 5,638,269 (£ 4,763,374, $6,059,136)","€ 293,190,000 (£ 247,695,438, $315,075,078)",25%,2023-2024
2,Real Madrid,es La Liga,47,"€ 5,491,731 (£ 4,639,574, $5,901,659)","€ 285,570,000 (£ 241,257,843, $306,886,288)",35%,2023-2024
3,Bayern Munich,de Bundesliga,48,"€ 4,948,462 (£ 4,180,604, $5,317,838)","€ 257,320,000 (£ 217,391,419, $276,527,574)",19%,2023-2024
4,Manchester Utd,eng Premier League,57,"€ 4,683,665 (£ 3,956,846, $5,033,261)","€ 243,550,559 (£ 205,756,000, $261,729,552)",24%,2023-2024
5,Manchester City,eng Premier League,48,"€ 4,576,131 (£ 3,866,000, $4,917,701)","€ 237,958,824 (£ 201,032,000, $255,720,441)",36%,2023-2024
6,Barcelona,es La Liga,50,"€ 4,064,231 (£ 3,433,580, $4,367,604)","€ 211,340,000 (£ 178,546,180, $227,115,409)",20%,2023-2024
7,Arsenal,eng Premier League,52,"€ 3,779,510 (£ 3,193,000, $4,061,619)","€ 196,534,543 (£ 166,036,000, $211,204,180)",12%,2023-2024
8,Chelsea,eng Premier League,60,"€ 3,574,733 (£ 3,020,000, $3,841,556)","€ 185,886,099 (£ 157,040,000, $199,760,922)",51%,2023-2024
9,Atlético Madrid,es La Liga,51,"€ 3,286,346 (£ 2,776,401, $3,531,654)","€ 170,890,000 (£ 144,372,842, $183,646,029)",47%,2023-2024
10,Liverpool,eng Premier League,49,"€ 3,101,258 (£ 2,620,000, $3,332,741)","€ 161,265,423 (£ 136,240,000, $173,302,521)",43%,2023-2024
11,Tottenham,eng Premier League,61,"€ 2,675,131 (£ 2,260,000, $2,874,807)","€ 139,106,817 (£ 117,520,000, $149,489,960)",38%,2023-2024
12,Aston Villa,eng Premier League,52,"€ 2,666,709 (£ 2,252,885, $2,865,756)","€ 138,668,852 (£ 117,150,000, $149,019,306)",47%,2023-2024
13,Dortmund,de Bundesliga,57,"€ 2,434,615 (£ 2,056,834, $2,616,347)","€ 126,600,000 (£ 106,955,360, $136,050,018)",38%,2023-2024
14,Juventus,it Serie A,58,"€ 2,338,308 (£ 1,975,470, $2,512,850)","€ 121,592,000 (£ 102,724,457, $130,668,197)",7%,2023-2024
15,Inter,it Serie A,52,"€ 2,261,154 (£ 1,910,289, $2,429,937)","€ 117,580,000 (£ 99,335,003, $126,356,724)",4%,2023-2024
16,West Ham,eng Premier League,46,"€ 2,169,697 (£ 1,833,000, $2,331,647)","€ 112,824,244 (£ 95,316,000, $121,245,618)",29%,2023-2024
17,Roma,it Serie A,56,"€ 2,007,692 (£ 1,696,157, $2,157,556)","€ 104,400,000 (£ 88,200,155, $112,192,908)",6%,2023-2024
18,RB Leipzig,de Bundesliga,51,"€ 1,943,077 (£ 1,641,568, $2,088,117)","€ 101,040,000 (£ 85,361,532, $108,582,098)",67%,2023-2024
19,Newcastle Utd,eng Premier League,57,"€ 1,923,490 (£ 1,625,000, $2,067,063)","€ 100,021,494 (£ 84,500,000, $107,487,250)",36%,2023-2024
20,Everton,eng Premier League,46,"€ 1,797,792 (£ 1,518,808, $1,931,982)","€ 93,485,180 (£ 78,978,000, $100,463,054)",52%,2023-2024
21,Milan,it Serie A,55,"€ 1,653,846 (£ 1,397,217, $1,777,297)","€ 86,000,000 (£ 72,655,299, $92,419,443)",4%,2023-2024
22,Nott'ham Forest,eng Premier League,72,"€ 1,640,088 (£ 1,385,577, $1,762,507)","€ 85,284,601 (£ 72,050,000, $91,650,371)",85%,2023-2024
23,Crystal Palace,eng Premier League,53,"€ 1,571,799 (£ 1,327,885, $1,689,120)","€ 81,733,540 (£ 69,050,000, $87,834,256)",63%,2023-2024
24,Fulham,eng Premier League,52,"€ 1,518,078 (£ 1,282,500, $1,631,389)","€ 78,940,040 (£ 66,690,000, $84,832,245)",69%,2023-2024
25,Sevilla,es La Liga,55,"€ 1,496,346 (£ 1,264,157, $1,608,040)","€ 77,810,000 (£ 65,736,148, $83,618,104)",52%,2023-2024
26,Napoli,it Serie A,51,"€ 1,451,346 (£ 1,226,139, $1,559,681)","€ 75,470,000 (£ 63,759,253, $81,103,436)",4%,2023-2024
27,Brighton,eng Premier League,52,"€ 1,420,424 (£ 1,200,000, $1,526,446)","€ 73,862,025 (£ 62,400,000, $79,375,200)",74%,2023-2024
28,Lazio,it Serie A,54,"€ 1,415,962 (£ 1,196,246, $1,521,656)","€ 73,630,000 (£ 62,204,767, $79,126,089)",10%,2023-2024
29,Marseille,fr Ligue 1,49,"€ 1,359,423 (£ 1,148,480, $1,460,897)","€ 70,690,000 (£ 59,720,969, $75,966,634)",52%,2023-2024
30,Bournemouth,eng Premier League,60,"€ 1,248,197 (£ 1,054,500, $1,341,365)","€ 64,906,255 (£ 54,834,000, $69,750,957)",78%,2023-2024
