,,,,,,Rk,Squad,Competition,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90
51,Lille,fr Ligue 1,21,25.4,53.8,38,418,"3,420",38.0,62,39,101,57,5,5,68,2,48.5,44.5,34.4,79.0,713,1660,1.63,1.03,2.66,1.50,2.53,1.28,0.91,2.18,1.17,2.08
52,Liverpool,eng Premier League,28,26.8,62.1,38,418,"3,420",38.0,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.2,886,2057,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.66,2.93
53,Lorient,fr Ligue 1,27,26.8,44.6,38,418,"3,420",38.0,49,26,75,40,9,10,69,3,48.6,41.4,30.8,72.2,572,1169,1.29,0.68,1.97,1.05,1.74,1.28,0.81,2.09,1.09,1.90
54,Lyon,fr Ligue 1,29,25.8,54.9,38,418,"3,420",38.0,76,46,122,65,11,11,66,10,81.4,73.0,54.9,127.9,805,1991,2.00,1.21,3.21,1.71,2.92,2.14,1.44,3.59,1.92,3.36
55,Mainz 05,de Bundesliga,31,25.8,40.7,34,374,"3,060",34.0,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046,1.15,0.68,1.82,1.00,1.68,1.47,1.03,2.49,1.35,2.38
56,Manchester City,eng Premier League,24,26.1,63.5,38,418,"3,420",38.0,82,55,137,77,5,9,46,2,68.2,61.2,45.4,106.6,1096,2051,2.16,1.45,3.61,2.03,3.47,1.80,1.19,2.99,1.61,2.81
57,Manchester Utd,eng Premier League,29,25.6,55.7,38,418,"3,420",38.0,70,51,121,60,10,11,64,1,60.1,51.4,41.6,93.1,877,1832,1.84,1.34,3.18,1.58,2.92,1.58,1.10,2.68,1.35,2.45
58,Marseille,fr Ligue 1,31,27.2,53.6,38,418,"3,420",38.0,53,45,98,49,4,7,98,9,47.0,41.6,36.5,78.0,606,1499,1.39,1.18,2.58,1.29,2.47,1.24,0.96,2.20,1.09,2.05
59,Metz,fr Ligue 1,27,25.7,45.2,38,418,"3,420",38.0,42,28,70,35,7,11,84,4,44.1,35.8,28.3,64.0,744,1221,1.11,0.74,1.84,0.92,1.66,1.16,0.74,1.90,0.94,1.68
60,Milan,it Serie A,29,24.4,51.7,38,418,"3,420",38.0,72,47,119,57,15,20,83,4,70.7,56.0,43.9,99.8,784,1483,1.89,1.24,3.13,1.50,2.74,1.86,1.15,3.02,1.47,2.63
61,Monaco,fr Ligue 1,30,24.8,55.8,38,418,"3,420",38.0,76,52,128,64,12,15,78,7,68.7,56.9,46.7,103.6,757,1750,2.00,1.37,3.37,1.68,3.05,1.81,1.23,3.04,1.50,2.73
62,Montpellier,fr Ligue 1,25,28.0,45.7,38,418,"3,420",38.0,60,42,102,58,2,5,65,7,51.9,48.1,33.8,81.8,616,1311,1.58,1.11,2.68,1.53,2.63,1.37,0.89,2.25,1.26,2.15
63,Nantes,fr Ligue 1,25,25.8,43.9,38,418,"3,420",38.0,47,28,75,39,8,9,70,4,49.0,42.2,29.4,71.6,656,1350,1.24,0.74,1.97,1.03,1.76,1.29,0.77,2.06,1.11,1.88
64,Napoli,it Serie A,25,27.1,55.1,38,418,"3,420",38.0,83,56,139,76,7,8,76,3,67.7,61.4,46.9,108.3,884,1703,2.18,1.47,3.66,2.00,3.47,1.78,1.23,3.02,1.62,2.85
65,Newcastle Utd,eng Premier League,27,27.1,38.8,38,418,"3,420",38.0,44,26,70,38,6,7,65,3,43.4,37.8,29.0,66.8,467,903,1.16,0.68,1.84,1.00,1.68,1.14,0.76,1.91,1.00,1.76
66,Nice,fr Ligue 1,31,23.5,54.3,38,418,"3,420",38.0,49,26,75,42,7,7,73,4,48.0,42.7,29.9,72.6,784,1531,1.29,0.68,1.97,1.11,1.79,1.26,0.79,2.05,1.12,1.91
67,Nîmes,fr Ligue 1,33,25.8,44.4,38,418,"3,420",38.0,40,26,66,33,7,8,60,5,43.3,37.0,29.9,66.9,520,1200,1.05,0.68,1.74,0.87,1.55,1.14,0.79,1.93,0.97,1.76
68,Osasuna,es La Liga,28,27.9,43.2,38,418,"3,420",38.0,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57
69,Paris S-G,fr Ligue 1,33,26.7,63.1,38,418,"3,420",38.0,84,52,136,72,12,13,79,7,80.1,70.1,55.6,125.8,909,2089,2.21,1.37,3.58,1.89,3.26,2.11,1.46,3.57,1.85,3.31
70,Parma,it Serie A,42,28.0,47.8,38,418,"3,420",38.0,39,26,65,34,5,5,91,1,42.5,38.6,30.5,69.0,607,1319,1.03,0.68,1.71,0.89,1.58,1.12,0.80,1.92,1.01,1.82
71,RB Leipzig,de Bundesliga,25,25.0,59.7,34,374,"3,060",34.0,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1719,1.74,1.29,3.03,1.50,2.79,1.89,1.28,3.18,1.67,2.95
72,Real Madrid,es La Liga,30,27.9,59.3,38,418,"3,420",38.0,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3.00,1.62,1.25,2.87,1.56,2.80
73,Real Sociedad,es La Liga,30,25.0,54.9,38,418,"3,420",38.0,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,1.53,1.03,2.55,1.29,2.32,1.60,1.04,2.64,1.36,2.40
74,Reims,fr Ligue 1,29,24.6,44.9,38,418,"3,420",38.0,39,23,62,34,5,5,77,8,32.7,28.9,21.7,50.6,698,1246,1.03,0.61,1.63,0.89,1.50,0.86,0.57,1.43,0.76,1.33
75,Rennes,fr Ligue 1,32,25.5,59.1,38,418,"3,420",38.0,50,39,89,47,3,3,79,5,47.8,45.4,35.3,80.7,741,1883,1.32,1.03,2.34,1.24,2.26,1.26,0.93,2.19,1.20,2.12
76,Roma,it Serie A,31,26.7,52.2,38,418,"3,420",38.0,67,51,118,60,7,8,91,3,65.3,59.0,48.2,107.2,863,1583,1.76,1.34,3.11,1.58,2.92,1.72,1.27,2.98,1.55,2.82
77,Saint-Étienne,fr Ligue 1,40,25.4,48.3,38,418,"3,420",38.0,40,28,68,34,6,9,76,2,48.7,41.8,31.6,73.4,616,1229,1.05,0.74,1.79,0.89,1.63,1.28,0.83,2.11,1.10,1.93
78,Sampdoria,it Serie A,27,27.9,45.2,38,418,"3,420",38.0,52,37,89,47,5,6,83,3,45.4,41.1,31.9,73.0,588,1370,1.37,0.97,2.34,1.24,2.21,1.20,0.84,2.04,1.08,1.92
79,Sassuolo,it Serie A,28,26.5,60.3,38,418,"3,420",38.0,61,36,97,48,13,14,79,4,58.4,47.7,34.0,81.8,770,1746,1.61,0.95,2.55,1.26,2.21,1.54,0.90,2.43,1.26,2.15
80,Schalke 04,de Bundesliga,42,25.9,44.7,34,374,"3,060",34.0,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943,0.71,0.59,1.29,0.71,1.29,0.84,0.61,1.45,0.77,1.38
81,Sevilla,es La Liga,26,28.1,60.9,38,418,"3,420",38.0,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,1.37,0.95,2.32,1.21,2.16,1.43,1.08,2.51,1.29,2.37
82,Sheffield Utd,eng Premier League,27,26.7,41.7,38,418,"3,420",38.0,19,13,32,16,3,4,73,3,32.6,29.5,24.9,54.4,491,1196,0.50,0.34,0.84,0.42,0.76,0.86,0.66,1.52,0.78,1.43
83,Southampton,eng Premier League,29,26.6,52.0,38,418,"3,420",38.0,47,33,80,42,5,6,52,3,41.2,36.6,25.8,62.5,626,1195,1.24,0.87,2.11,1.11,1.97,1.09,0.68,1.77,0.96,1.64
84,Spezia,it Serie A,35,25.2,51.9,38,418,"3,420",38.0,52,37,89,48,4,5,100,5,46.6,42.7,31.1,73.8,627,1388,1.37,0.97,2.34,1.26,2.24,1.23,0.82,2.05,1.12,1.94
85,Strasbourg,fr Ligue 1,26,26.8,45.7,38,418,"3,420",38.0,49,26,75,39,10,12,58,3,52.8,43.4,32.1,75.5,538,1301,1.29,0.68,1.97,1.03,1.71,1.39,0.84,2.23,1.14,1.99
86,Stuttgart,de Bundesliga,29,24.1,51.5,34,374,"3,060",34.0,54,42,96,48,6,8,65,2,51.4,45.1,37.1,82.2,701,1467,1.59,1.24,2.82,1.41,2.65,1.51,1.09,2.60,1.33,2.42
87,Torino,it Serie A,29,26.9,47.3,38,418,"3,420",38.0,49,28,77,44,5,6,78,4,50.0,45.3,32.2,77.5,617,1138,1.29,0.74,2.03,1.16,1.89,1.32,0.85,2.16,1.19,2.04
88,Tottenham,eng Premier League,24,27.2,51.6,38,418,"3,420",38.0,66,50,116,61,5,5,57,2,53.1,49.2,35.3,84.4,633,1330,1.74,1.32,3.05,1.61,2.92,1.40,0.93,2.33,1.29,2.22
89,Udinese,it Serie A,33,27.2,46.3,38,418,"3,420",38.0,40,30,70,36,4,4,65,2,45.7,42.9,30.0,72.9,672,1405,1.05,0.79,1.84,0.95,1.74,1.20,0.79,1.99,1.13,1.92
90,Union Berlin,de Bundesliga,27,27.3,44.9,34,374,"3,060",34.0,50,39,89,45,5,7,57,2,46.9,41.3,33.4,74.7,464,1059,1.47,1.15,2.62,1.32,2.47,1.38,0.98,2.36,1.22,2.20
91,Valencia,es La Liga,30,25.2,46.9,38,418,"3,420",38.0,48,35,83,40,8,10,82,5,42.6,34.8,27.3,62.1,575,1180,1.26,0.92,2.18,1.05,1.97,1.12,0.72,1.84,0.92,1.63
92,Valladolid,es La Liga,32,28.1,45.2,38,418,"3,420",38.0,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,0.89,0.55,1.45,0.71,1.26,1.05,0.64,1.69,0.89,1.53
93,Villarreal,es La Liga,29,28.0,55.2,38,418,"3,420",38.0,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,1.50,0.87,2.37,1.18,2.05,1.48,1.06,2.55,1.22,2.29
94,Werder Bremen,de Bundesliga,27,26.3,43.9,34,374,"3,060",34.0,35,25,60,30,5,5,67,3,32.9,29.0,21.5,50.5,414,1065,1.03,0.74,1.76,0.88,1.62,0.97,0.63,1.60,0.85,1.49
95,West Brom,eng Premier League,30,26.4,37.9,38,418,"3,420",38.0,33,20,53,29,4,4,51,4,35.8,32.7,24.4,57.1,441,1027,0.87,0.53,1.39,0.76,1.29,0.94,0.64,1.59,0.86,1.50
96,West Ham,eng Premier League,24,27.8,43.2,38,418,"3,420",38.0,60,46,106,58,2,4,50,3,55.4,52.1,39.6,91.7,658,1282,1.58,1.21,2.79,1.53,2.74,1.46,1.04,2.50,1.37,2.41
97,Wolfsburg,de Bundesliga,26,25.6,51.1,34,374,"3,060",34.0,57,48,105,55,2,3,58,3,49.0,46.9,37.7,84.5,595,1397,1.68,1.41,3.09,1.62,3.03,1.44,1.11,2.55,1.38,2.49
98,Wolves,eng Premier League,27,26.3,49.3,38,418,"3,420",38.0,34,21,55,30,4,4,55,1,36.5,33.4,24.1,57.6,800,1283,0.89,0.55,1.45,0.79,1.34,0.96,0.63,1.60,0.88,1.51
1,Alavés,es La Liga,33,27.9,42.0,38,418,"3,420",38.0,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,0.76,0.53,1.29,0.61,1.13,0.98,0.67,1.65,0.84,1.51
2,Angers,fr Ligue 1,30,27.4,48.4,38,418,"3,420",38.0,41,25,66,32,9,9,70,4,46.5,39.5,28.4,67.9,659,1349,1.08,0.66,1.74,0.84,1.50,1.22,0.75,1.97,1.04,1.79
3,Arminia,de Bundesliga,26,25.8,40.7,34,374,"3,060",34.0,26,18,44,24,2,2,55,2,26.3,24.7,17.2,41.9,405,887,0.76,0.53,1.29,0.71,1.24,0.77,0.51,1.28,0.73,1.23
4,Arsenal,eng Premier League,27,24.4,52.8,38,418,"3,420",38.0,60,41,101,55,5,8,67,4,60.5,55.1,40.2,95.4,734,1655,1.58,1.08,2.66,1.45,2.53,1.59,1.06,2.65,1.45,2.51
5,Aston Villa,eng Premier League,31,26.1,46.5,38,418,"3,420",38.0,50,42,92,47,3,3,81,2,44.0,42.0,34.8,76.8,653,1300,1.32,1.11,2.42,1.24,2.34,1.16,0.92,2.08,1.10,2.02
6,Atalanta,it Serie A,32,27.5,55.0,38,418,"3,420",38.0,62,48,110,57,5,6,87,2,62.4,58.1,48.5,106.6,796,1858,1.63,1.26,2.89,1.50,2.76,1.64,1.28,2.92,1.53,2.81
7,Athletic Club,es La Liga,26,26.9,48.1,38,418,"3,420",38.0,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,1.05,0.89,1.95,0.97,1.87,1.31,0.99,2.29,1.16,2.15
8,Atlético Madrid,es La Liga,26,28.1,50.6,38,418,"3,420",38.0,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,1.66,1.18,2.84,1.55,2.74,1.43,1.06,2.49,1.33,2.39
9,Augsburg,de Bundesliga,26,26.6,41.5,34,374,"3,060",34.0,39,26,65,34,5,5,74,0,36.7,32.8,23.9,56.7,441,895,1.15,0.76,1.91,1.00,1.76,1.08,0.70,1.78,0.96,1.67
10,Barcelona,es La Liga,38,26.2,64.2,38,418,"3,420",38.0,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,1.79,1.37,3.16,1.63,3.00,1.67,1.25,2.92,1.52,2.78
11,Bayern Munich,de Bundesliga,30,26.8,64.5,34,374,"3,060",34.0,92,70,162,87,5,5,36,2,89.0,85.1,66.7,151.8,833,2164,2.71,2.06,4.76,2.56,4.62,2.62,1.96,4.58,2.50,4.46
12,Betis,es La Liga,31,28.9,53.7,38,418,"3,420",38.0,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,1.58,1.18,2.76,1.42,2.61,1.41,0.99,2.40,1.29,2.28
13,Bochum,de Bundesliga,28,28.0,44.7,34,374,"3,060",34.0,37,22,59,33,4,6,55,2,40.6,35.9,26.7,62.6,467,926,1.09,0.65,1.74,0.97,1.62,1.19,0.78,1.98,1.06,1.84
14,Bologna,it Serie A,36,26.6,50.6,38,418,"3,420",38.0,43,34,77,39,4,5,92,7,44.9,41.0,33.6,74.6,540,1276,1.13,0.89,2.03,1.03,1.92,1.18,0.88,2.06,1.08,1.96
15,Bordeaux,fr Ligue 1,39,25.7,47.4,38,418,"3,420",38.0,50,39,89,48,2,4,91,5,44.9,41.9,33.9,75.8,609,1271,1.32,1.03,2.34,1.26,2.29,1.18,0.89,2.07,1.10,2.00
16,Brentford,eng Premier League,29,25.4,44.8,38,418,"3,420",38.0,46,33,79,40,6,6,65,3,45.8,41.1,33.0,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95
17,Brest,fr Ligue 1,25,25.4,43.9,38,418,"3,420",38.0,48,32,80,41,7,8,59,2,43.4,37.0,28.7,65.7,666,1349,1.26,0.84,2.11,1.08,1.92,1.14,0.76,1.90,0.97,1.73
18,Brighton,eng Premier League,26,26.2,54.4,38,418,"3,420",38.0,40,30,70,36,4,7,72,2,46.2,40.7,32.3,72.9,676,1547,1.05,0.79,1.84,0.95,1.74,1.21,0.85,2.06,1.07,1.92
19,Burnley,eng Premier League,23,28.5,40.2,38,418,"3,420",38.0,32,26,58,31,1,2,68,2,39.7,38.1,31.2,69.3,388,972,0.84,0.68,1.53,0.82,1.50,1.05,0.82,1.87,1.00,1.82
20,Cádiz,es La Liga,33,28.5,41.3,38,418,"3,420",38.0,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,0.92,0.55,1.47,0.84,1.39,1.04,0.65,1.69,0.91,1.56
21,Cagliari,it Serie A,33,26.5,44.5,38,418,"3,420",38.0,34,26,60,31,3,4,96,5,39.0,36.4,29.6,66.0,474,1088,0.89,0.68,1.58,0.82,1.50,1.03,0.78,1.81,0.96,1.74
22,Celta Vigo,es La Liga,25,28.4,55.2,38,418,"3,420",38.0,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,1.13,0.76,1.89,1.05,1.82,1.13,0.76,1.89,1.01,1.77
23,Chelsea,eng Premier League,26,27.4,61.8,38,418,"3,420",38.0,75,52,127,67,8,9,63,1,63.4,56.6,44.9,101.5,894,1967,1.97,1.37,3.34,1.76,3.13,1.67,1.18,2.85,1.49,2.67
24,Clermont Foot,fr Ligue 1,28,26.9,50.0,38,418,"3,420",38.0,36,25,61,34,2,3,65,8,44.4,41.9,32.6,74.4,617,1370,0.95,0.66,1.61,0.89,1.55,1.17,0.86,2.03,1.10,1.96
25,Crystal Palace,eng Premier League,24,27.1,51.1,38,418,"3,420",38.0,50,31,81,44,6,8,69,1,46.4,40.1,31.0,71.1,592,1229,1.32,0.82,2.13,1.16,1.97,1.22,0.82,2.04,1.06,1.87
26,Dortmund,de Bundesliga,33,25.9,59.2,34,374,"3,060",34.0,81,57,138,70,11,11,63,1,64.0,55.9,45.0,100.8,670,1468,2.38,1.68,4.06,2.06,3.74,1.88,1.32,3.21,1.64,2.97
27,Eint Frankfurt,de Bundesliga,27,26.2,49.6,34,374,"3,060",34.0,43,33,76,42,1,2,61,1,41.6,40.1,32.0,72.1,609,1255,1.26,0.97,2.24,1.24,2.21,1.22,0.94,2.16,1.18,2.12
28,Elche,es La Liga,28,29.1,48.4,38,418,"3,420",38.0,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,1.03,0.76,1.79,1.00,1.76,0.89,0.73,1.61,0.86,1.59
29,Empoli,it Serie A,28,24.5,47.4,38,418,"3,420",38.0,47,27,74,40,7,7,87,5,44.9,39.3,28.9,68.3,658,1477,1.24,0.71,1.95,1.05,1.76,1.18,0.76,1.94,1.04,1.80
30,Espanyol,es La Liga,34,27.7,46.9,38,418,"3,420",38.0,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,1.03,0.66,1.68,0.89,1.55,0.97,0.68,1.65,0.87,1.55
31,Everton,eng Premier League,33,26.7,40.0,38,418,"3,420",38.0,42,29,71,36,6,7,82,6,41.2,35.8,28.5,64.3,512,1100,1.11,0.76,1.87,0.95,1.71,1.09,0.75,1.83,0.94,1.69
32,Fiorentina,it Serie A,28,26.4,57.7,38,418,"3,420",38.0,59,33,92,50,9,12,89,8,60.0,50.8,39.2,90.1,755,1584,1.55,0.87,2.42,1.32,2.18,1.58,1.03,2.61,1.34,2.37
33,Freiburg,de Bundesliga,26,26.5,49.0,34,374,"3,060",34.0,55,37,92,50,5,6,34,0,50.4,45.7,34.5,80.2,401,1229,1.62,1.09,2.71,1.47,2.56,1.48,1.01,2.50,1.35,2.36
34,Genoa,it Serie A,40,27.0,43.9,38,418,"3,420",38.0,26,19,45,20,6,7,92,3,37.2,31.8,26.3,58.1,517,1101,0.68,0.50,1.18,0.53,1.03,0.98,0.69,1.67,0.84,1.53
35,Getafe,es La Liga,31,26.6,41.5,38,418,"3,420",38.0,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,0.82,0.68,1.50,0.74,1.42,0.77,0.51,1.28,0.67,1.18
36,Gladbach,de Bundesliga,26,26.0,54.0,34,374,"3,060",34.0,54,38,92,49,5,7,67,1,56.2,50.6,37.8,88.4,527,1291,1.59,1.12,2.71,1.44,2.56,1.65,1.11,2.76,1.49,2.60
37,Granada,es La Liga,32,28.1,44.7,38,418,"3,420",38.0,43,28,71,40,3,5,105,4,39.0,35.1,26.7,61.8,435,1047,1.13,0.74,1.87,1.05,1.79,1.03,0.70,1.73,0.92,1.63
38,Greuther Fürth,de Bundesliga,29,25.9,43.6,34,374,"3,060",34.0,26,15,41,21,5,5,61,0,30.0,26.2,18.8,44.9,413,976,0.76,0.44,1.21,0.62,1.06,0.88,0.55,1.43,0.77,1.32
39,Hellas Verona,it Serie A,31,26.8,50.6,38,418,"3,420",38.0,63,44,107,56,7,8,100,7,50.4,44.2,34.1,78.4,677,1587,1.66,1.16,2.82,1.47,2.63,1.33,0.90,2.23,1.16,2.06
40,Hertha BSC,de Bundesliga,36,26.7,43.7,34,374,"3,060",34.0,35,23,58,32,3,3,62,2,33.3,30.9,25.0,55.9,462,975,1.03,0.68,1.71,0.94,1.62,0.98,0.73,1.71,0.91,1.64
41,Hoffenheim,de Bundesliga,32,26.1,53.2,34,374,"3,060",34.0,55,42,97,55,0,0,75,0,58.3,58.3,46.8,105.1,588,1474,1.62,1.24,2.85,1.62,2.85,1.71,1.38,3.09,1.71,3.09
42,Inter,it Serie A,27,28.9,56.5,38,418,"3,420",38.0,83,57,140,76,7,11,71,0,81.6,73.6,57.3,130.9,782,1778,2.18,1.50,3.68,2.00,3.50,2.15,1.51,3.66,1.94,3.45
43,Juventus,it Serie A,32,27.4,51.5,38,418,"3,420",38.0,56,37,93,51,5,6,77,2,51.4,46.7,36.3,83.0,701,1464,1.47,0.97,2.45,1.34,2.32,1.35,0.96,2.31,1.23,2.18
44,Köln,de Bundesliga,26,27.0,54.8,34,374,"3,060",34.0,52,40,92,51,1,1,68,1,50.1,49.3,38.6,87.9,550,1406,1.53,1.18,2.71,1.50,2.68,1.47,1.14,2.61,1.45,2.59
45,Lazio,it Serie A,27,29.0,55.4,38,418,"3,420",38.0,74,48,122,67,7,9,88,5,55.3,48.2,38.8,87.0,788,1527,1.95,1.26,3.21,1.76,3.03,1.46,1.02,2.48,1.27,2.29
46,Leeds United,eng Premier League,29,26.1,52.3,38,418,"3,420",38.0,42,26,68,37,5,5,101,3,44.4,40.4,31.3,71.8,671,1483,1.11,0.68,1.79,0.97,1.66,1.17,0.82,1.99,1.06,1.89
47,Leicester City,eng Premier League,28,26.5,52.0,38,418,"3,420",38.0,62,46,108,60,2,2,55,1,47.8,46.2,34.2,80.4,622,1356,1.63,1.21,2.84,1.58,2.79,1.26,0.90,2.16,1.22,2.12
48,Lens,fr Ligue 1,28,26.1,50.7,38,418,"3,420",38.0,60,39,99,55,5,5,73,7,50.2,46.4,34.9,81.3,763,1692,1.58,1.03,2.61,1.45,2.47,1.32,0.92,2.24,1.22,2.14
49,Levante,es La Liga,31,28.0,47.2,38,418,"3,420",38.0,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,1.34,0.89,2.24,1.13,2.03,1.45,0.84,2.28,1.19,2.02
50,Leverkusen,de Bundesliga,29,24.4,53.7,34,374,"3,060",34.0,76,58,134,74,2,6,66,2,62.6,57.8,46.2,104.0,709,1341,2.24,1.71,3.94,2.18,3.88,1.84,1.36,3.20,1.70,3.06
51,Lille,fr Ligue 1,26,26.1,50.8,38,418,"3,420",38.0,45,29,74,41,4,5,98,6,50.5,46.6,33.7,80.4,725,1487,1.18,0.76,1.95,1.08,1.84,1.33,0.89,2.22,1.23,2.11
52,Liverpool,eng Premier League,27,27.7,62.7,38,418,"3,420",38.0,94,71,165,87,7,8,50,1,88.7,82.7,63.5,146.2,885,2243,2.47,1.87,4.34,2.29,4.16,2.33,1.67,4.00,2.18,3.85
53,Lorient,fr Ligue 1,29,26.2,44.4,38,418,"3,420",38.0,35,20,55,32,3,3,69,4,41.3,39.0,29.7,68.7,569,1258,0.92,0.53,1.45,0.84,1.37,1.09,0.78,1.87,1.03,1.81
54,Lyon,fr Ligue 1,30,25.6,58.4,38,418,"3,420",38.0,64,45,109,56,8,8,65,6,66.9,60.7,48.3,109.0,781,1756,1.68,1.18,2.87,1.47,2.66,1.76,1.27,3.03,1.60,2.87
55,Mainz 05,de Bundesliga,28,26.2,46.5,34,374,"3,060",34.0,49,36,85,45,4,4,62,4,50.4,47.2,36.4,83.6,445,1178,1.44,1.06,2.50,1.32,2.38,1.48,1.07,2.55,1.39,2.46
56,Mallorca,es La Liga,33,27.9,45.3,38,418,"3,420",38.0,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.70,0.88,1.55
57,Manchester City,eng Premier League,26,27.0,67.9,38,418,"3,420",38.0,96,63,159,89,7,9,42,1,88.7,81.4,65.5,146.9,1145,2421,2.53,1.66,4.18,2.34,4.00,2.33,1.72,4.06,2.14,3.87
58,Manchester Utd,eng Premier League,29,27.2,52.7,38,418,"3,420",38.0,56,46,102,53,3,5,77,2,55.8,51.9,42.5,94.3,784,1568,1.47,1.21,2.68,1.39,2.61,1.47,1.12,2.59,1.36,2.48
59,Marseille,fr Ligue 1,27,25.0,61.7,38,418,"3,420",38.0,61,40,101,51,10,10,61,3,58.2,50.5,41.1,91.6,762,1866,1.61,1.05,2.66,1.34,2.39,1.53,1.08,2.61,1.33,2.41
60,Metz,fr Ligue 1,36,25.9,42.9,38,418,"3,420",38.0,33,24,57,32,1,1,94,9,29.2,28.4,21.5,49.9,572,1015,0.87,0.63,1.50,0.84,1.47,0.77,0.57,1.33,0.75,1.31
61,Milan,it Serie A,28,25.6,54.0,38,418,"3,420",38.0,66,39,105,61,5,8,76,3,59.7,54.1,42.8,96.9,806,1486,1.74,1.03,2.76,1.61,2.63,1.57,1.13,2.70,1.42,2.55
62,Monaco,fr Ligue 1,27,24.4,54.1,38,418,"3,420",38.0,62,45,107,53,9,9,85,4,59.3,52.3,44.1,96.3,750,1871,1.63,1.18,2.82,1.39,2.58,1.56,1.16,2.72,1.38,2.54
63,Montpellier,fr Ligue 1,26,25.8,48.2,38,418,"3,420",38.0,48,31,79,45,3,4,77,8,42.7,39.6,28.6,68.2,604,1282,1.26,0.82,2.08,1.18,2.00,1.12,0.75,1.88,1.04,1.79
64,Nantes,fr Ligue 1,26,26.1,43.9,38,418,"3,420",38.0,53,37,90,48,5,5,80,4,45.5,41.6,34.7,76.3,607,1330,1.39,0.97,2.37,1.26,2.24,1.20,0.91,2.11,1.10,2.01
65,Napoli,it Serie A,27,27.9,58.3,38,418,"3,420",38.0,74,46,120,64,10,14,63,2,57.8,46.6,37.1,83.7,827,1665,1.95,1.21,3.16,1.68,2.89,1.52,0.98,2.50,1.23,2.20
66,Newcastle Utd,eng Premier League,29,27.5,40.4,38,418,"3,420",38.0,41,23,64,38,3,3,81,2,38.1,35.9,25.8,61.7,544,923,1.08,0.61,1.68,1.00,1.61,1.00,0.68,1.68,0.94,1.62
67,Nice,fr Ligue 1,27,25.0,51.5,38,418,"3,420",38.0,52,35,87,44,8,10,77,6,55.6,48.0,39.0,86.9,732,1474,1.37,0.92,2.29,1.16,2.08,1.46,1.03,2.49,1.26,2.29
68,Norwich City,eng Premier League,28,26.2,42.9,38,418,"3,420",38.0,21,16,37,18,3,3,57,1,32.3,30.0,24.3,54.3,566,1031,0.55,0.42,0.97,0.47,0.89,0.85,0.64,1.49,0.79,1.43
69,Osasuna,es La Liga,29,27.7,46.9,38,418,"3,420",38.0,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,0.97,0.61,1.58,0.82,1.42,0.96,0.60,1.57,0.81,1.41
70,Paris S-G,fr Ligue 1,36,27.8,63.0,38,418,"3,420",38.0,88,65,153,81,7,8,79,4,76.7,70.6,55.9,126.6,877,2055,2.32,1.71,4.03,2.13,3.84,2.02,1.47,3.49,1.86,3.33
71,Rayo Vallecano,es La Liga,28,27.5,49.9,38,418,"3,420",38.0,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,1.00,0.74,1.74,0.89,1.63,1.13,0.81,1.93,1.04,1.85
