,,,,,,Rk,Player,Nation,Position,Squad,Competition,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage
18,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,3,150.0,0,0,0,0,,Matches
19,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28,28,"2,520",28.0,36,1.29,113,76,70.8,12,8,8,7,25.0,5,3,2,0,40.0,Matches
20,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31,31,"2,790",31.0,34,1.10,99,64,66.7,13,10,8,8,25.8,2,1,1,0,50.0,Matches
21,Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,23,1994,1,0,38,0.4,2,4.74,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches
22,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32,32,"2,880",32.0,52,1.62,143,92,65.0,11,4,17,8,25.0,5,2,2,1,50.0,Matches
23,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,22,22,"1,941",21.6,31,1.44,86,55,67.4,10,4,8,4,18.2,4,3,0,1,0.0,Matches
24,Landry Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,4,3,271,3.0,6,1.99,17,11,64.7,2,0,1,0,0.0,0,0,0,0,,Matches
25,Jean-Christophe Bouet,fr FRA,GK,Amiens,fr Ligue 1,34,1983,1,1,90,1.0,1,1.00,7,6,85.7,0,0,1,0,0.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,1991,30,30,"2,655",29.5,46,1.56,139,94,69.8,13,6,11,9,30.0,5,4,0,1,0.0,Matches
27,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,34,1983,3,2,226,2.5,1,0.40,5,4,80.0,2,0,0,2,100.0,0,0,0,0,,Matches
28,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,1991,13,11,"1,126",12.5,31,2.48,70,39,58.6,1,2,8,1,9.1,4,2,0,2,0.0,Matches
29,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,1978,21,21,"1,862",20.7,14,0.68,56,43,80.4,17,2,2,11,52.4,4,3,1,0,25.0,Matches
30,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33,33,"2,969",33.0,43,1.30,145,102,72.4,15,9,9,12,36.4,3,3,0,0,0.0,Matches
31,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,34,1983,19,19,"1,653",18.4,22,1.20,68,48,72.1,6,5,8,4,21.1,3,3,0,0,0.0,Matches
32,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,24,1993,35,35,"3,150",35.0,61,1.74,201,142,72.1,7,11,17,6,17.1,5,5,0,0,0.0,Matches
33,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3,3,270,3.0,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,,Matches
34,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10,10,900,10.0,16,1.60,41,26,61.0,3,1,6,3,30.0,0,0,0,0,,Matches
35,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10,10,900,10.0,11,1.10,29,19,62.1,6,2,2,3,30.0,0,0,0,0,,Matches
