Rk,Squad,Comp,Num_of_Players,Weekly_Wages,Annual_Wages,Pct_Estimated,Season,Weekly_Wages_EUR,Weekly_Wages_GBP,Weekly_Wages_USD,Annual_Wages_EUR,Annual_Wages_GBP,Annual_Wages_USD
16,Everton,Premier League,80,"€ 1,895,827 (£ 1,631,000, $2,073,013)","€ 98,583,027 (£ 84,812,000, $107,796,661)",45%,2022-2023,1895827.0,1631000.0,2073013.0,98583027.0,84812000.0,107796661.0
17,Newcastle Utd,Premier League,86,"€ 1,851,657 (£ 1,593,000, $2,024,714)","€ 96,286,181 (£ 82,836,000, $105,285,152)",21%,2022-2023,1851657.0,1593000.0,2024714.0,96286181.0,82836000.0,105285152.0
18,West Ham,Premier League,69,"€ 1,842,358 (£ 1,585,000, $2,014,546)","€ 95,802,637 (£ 82,420,000, $104,756,412)",17%,2022-2023,1842358.0,1585000.0,2014546.0,95802637.0,82420000.0,104756412.0
19,Roma,Serie A,84,"€ 1,799,423 (£ 1,548,062, $1,967,598)","€ 93,570,000 (£ 80,499,239, $102,315,108)",9%,2022-2023,1799423.0,1548062.0,1967598.0,93570000.0,80499239.0,102315108.0
20,RB Leipzig,Bundesliga,50,"€ 1,796,538 (£ 1,545,581, $1,964,444)","€ 93,420,000 (£ 80,370,193, $102,151,090)",28%,2022-2023,1796538.0,1545581.0,1964444.0,93420000.0,80370193.0,102151090.0
21,Leicester City,Premier League,81,"€ 1,760,992 (£ 1,515,000, $1,925,576)","€ 91,571,604 (£ 78,780,000, $100,129,945)",31%,2022-2023,1760992.0,1515000.0,1925576.0,91571604.0,78780000.0,100129945.0
22,Milan,Serie A,92,"€ 1,602,885 (£ 1,378,978, $1,752,691)","€ 83,350,000 (£ 71,706,865, $91,139,939)",3%,2022-2023,1602885.0,1378978.0,1752691.0,83350000.0,71706865.0,91139939.0
23,Crystal Palace,Premier League,73,"€ 1,493,647 (£ 1,285,000, $1,633,244)","€ 77,669,646 (£ 66,820,000, $84,928,703)",48%,2022-2023,1493647.0,1285000.0,1633244.0,77669646.0,66820000.0,84928703.0
24,Sevilla,La Liga,52,"€ 1,421,731 (£ 1,223,130, $1,554,607)","€ 73,930,000 (£ 63,602,745, $80,839,544)",59%,2022-2023,1421731.0,1223130.0,1554607.0,73930000.0,63602745.0,80839544.0
25,Napoli,Serie A,78,"€ 1,332,038 (£ 1,145,966, $1,456,532)","€ 69,266,000 (£ 59,590,254, $75,739,644)",6%,2022-2023,1332038.0,1145966.0,1456532.0,69266000.0,59590254.0,75739644.0
26,Marseille,Ligue 1,49,"€ 1,317,308 (£ 1,133,293, $1,440,424)","€ 68,500,000 (£ 58,931,259, $74,902,052)",43%,2022-2023,1317308.0,1133293.0,1440424.0,68500000.0,58931259.0,74902052.0
27,Lazio,Serie A,76,"€ 1,280,000 (£ 1,101,197, $1,399,630)","€ 66,560,000 (£ 57,262,256, $72,780,740)",0%,2022-2023,1280000.0,1101197.0,1399630.0,66560000.0,57262256.0,72780740.0
28,Athletic Club,La Liga,49,"€ 1,219,038 (£ 1,048,751, $1,332,971)","€ 63,390,000 (£ 54,535,073, $69,314,466)",74%,2022-2023,1219038.0,1048751.0,1332971.0,63390000.0,54535073.0,69314466.0
29,Fulham,Premier League,72,"€ 1,214,678 (£ 1,045,000, $1,328,203)","€ 63,163,251 (£ 54,340,000, $69,066,531)",42%,2022-2023,1214678.0,1045000.0,1328203.0,63163251.0,54340000.0,69066531.0
30,Nott'ham Forest,Premier League,107,"€ 1,194,336 (£ 1,027,500, $1,305,960)","€ 62,105,496 (£ 53,430,000, $67,909,914)",65%,2022-2023,1194336.0,1027500.0,1305960.0,62105496.0,53430000.0,67909914.0
31,Wolves,Premier League,87,"€ 1,166,440 (£ 1,003,500, $1,275,456)","€ 60,654,855 (£ 52,182,000, $66,323,698)",59%,2022-2023,1166440.0,1003500.0,1275456.0,60654855.0,52182000.0,66323698.0
32,Monaco,Ligue 1,52,"€ 1,127,500 (£ 970,000, $1,232,877)","€ 58,630,000 (£ 50,439,998, $64,109,595)",69%,2022-2023,1127500.0,970000.0,1232877.0,58630000.0,50439998.0,64109595.0
33,Southampton,Premier League,77,"€ 1,107,740 (£ 953,000, $1,211,270)","€ 57,602,471 (£ 49,556,000, $62,986,030)",58%,2022-2023,1107740.0,953000.0,1211270.0,57602471.0,49556000.0,62986030.0
34,Leeds United,Premier League,78,"€ 1,103,672 (£ 949,500, $1,206,821)","€ 57,390,918 (£ 49,374,000, $62,754,708)",70%,2022-2023,1103672.0,949500.0,1206821.0,57390918.0,49374000.0,62754708.0
35,Leverkusen,Bundesliga,57,"€ 1,102,500 (£ 948,492, $1,205,540)","€ 57,330,000 (£ 49,321,593, $62,688,098)",64%,2022-2023,1102500.0,948492.0,1205540.0,57330000.0,49321593.0,62688098.0
36,Villarreal,La Liga,47,"€ 1,042,308 (£ 896,708, $1,139,722)","€ 54,200,000 (£ 46,628,820, $59,265,566)",66%,2022-2023,1042308.0,896708.0,1139722.0,54200000.0,46628820.0,59265566.0
37,Fiorentina,Serie A,83,"€ 1,021,154 (£ 878,509, $1,116,592)","€ 53,100,000 (£ 45,682,480, $58,062,759)",0%,2022-2023,1021154.0,878509.0,1116592.0,53100000.0,45682480.0,58062759.0
38,Lyon,Ligue 1,50,"€ 998,269 (£ 858,821, $1,091,568)","€ 51,910,000 (£ 44,658,710, $56,761,542)",54%,2022-2023,998269.0,858821.0,1091568.0,51910000.0,44658710.0,56761542.0
39,Gladbach,Bundesliga,55,"€ 919,231 (£ 790,824, $1,005,143)","€ 47,800,000 (£ 41,122,838, $52,267,419)",81%,2022-2023,919231.0,790824.0,1005143.0,47800000.0,41122838.0,52267419.0
40,Valencia,La Liga,48,"€ 915,769 (£ 787,846, $1,001,358)","€ 47,620,000 (£ 40,967,979, $52,070,594)",77%,2022-2023,915769.0,787846.0,1001358.0,47620000.0,40967979.0,52070594.0
41,Bournemouth,Premier League,83,"€ 858,992 (£ 739,000, $939,274)","€ 44,667,602 (£ 38,428,000, $48,842,265)",55%,2022-2023,858992.0,739000.0,939274.0,44667602.0,38428000.0,48842265.0
42,Brighton,Premier League,70,"€ 857,830 (£ 738,000, $938,003)","€ 44,607,160 (£ 38,376,000, $48,776,174)",69%,2022-2023,857830.0,738000.0,938003.0,44607160.0,38376000.0,48776174.0
43,Wolfsburg,Bundesliga,52,"€ 856,538 (£ 736,889, $936,591)","€ 44,540,000 (£ 38,318,223, $48,702,736)",92%,2022-2023,856538.0,736889.0,936591.0,44540000.0,38318223.0,48702736.0
44,Betis,La Liga,52,"€ 831,538 (£ 715,381, $909,255)","€ 43,240,000 (£ 37,199,820, $47,281,235)",75%,2022-2023,831538.0,715381.0,909255.0,43240000.0,37199820.0,47281235.0
45,Nice,Ligue 1,51,"€ 828,846 (£ 713,065, $906,311)","€ 43,100,000 (£ 37,079,377, $47,128,154)",80%,2022-2023,828846.0,713065.0,906311.0,43100000.0,37079377.0,47128154.0
46,Real Sociedad,La Liga,52,"€ 828,462 (£ 712,734, $905,890)","€ 43,080,000 (£ 37,062,168, $47,106,283)",85%,2022-2023,828462.0,712734.0,905890.0,43080000.0,37062168.0,47106283.0
47,Monza,Serie A,105,"€ 800,135 (£ 688,364, $874,916)","€ 41,607,000 (£ 35,794,934, $45,495,612)",70%,2022-2023,800135.0,688364.0,874916.0,41607000.0,35794934.0,45495612.0
48,Atalanta,Serie A,75,"€ 785,327 (£ 675,625, $858,724)","€ 40,837,000 (£ 35,132,491, $44,653,651)",16%,2022-2023,785327.0,675625.0,858724.0,40837000.0,35132491.0,44653651.0
49,Hoffenheim,Bundesliga,59,"€ 725,769 (£ 624,387, $793,600)","€ 37,740,000 (£ 32,468,116, $41,267,203)",93%,2022-2023,725769.0,624387.0,793600.0,37740000.0,32468116.0,41267203.0
50,Brentford,Premier League,75,"€ 718,346 (£ 618,000, $785,482)","€ 37,353,966 (£ 32,136,000, $40,845,084)",75%,2022-2023,718346.0,618000.0,785482.0,37353966.0,32136000.0,40845084.0
51,Schalke 04,Bundesliga,60,"€ 686,154 (£ 590,305, $750,282)","€ 35,680,000 (£ 30,695,875, $39,014,674)",95%,2022-2023,686154.0,590305.0,750282.0,35680000.0,30695875.0,39014674.0
52,Torino,Serie A,79,"€ 675,577 (£ 581,206, $738,717)","€ 35,130,000 (£ 30,222,705, $38,413,271)",16%,2022-2023,675577.0,581206.0,738717.0,35130000.0,30222705.0,38413271.0
53,Getafe,La Liga,48,"€ 656,058 (£ 564,413, $717,373)","€ 34,115,000 (£ 29,349,490, $37,303,408)",94%,2022-2023,656058.0,564413.0,717373.0,34115000.0,29349490.0,37303408.0
54,Eint Frankfurt,Bundesliga,59,"€ 653,077 (£ 561,849, $714,114)","€ 33,960,000 (£ 29,216,138, $37,133,920)",84%,2022-2023,653077.0,561849.0,714114.0,33960000.0,29216138.0,37133920.0
55,Hertha BSC,Bundesliga,58,"€ 642,692 (£ 552,915, $702,759)","€ 33,420,000 (£ 28,751,576, $36,543,455)",95%,2022-2023,642692.0,552915.0,702759.0,33420000.0,28751576.0,36543455.0
56,Bologna,Serie A,86,"€ 634,462 (£ 545,834, $693,759)","€ 32,992,000 (£ 28,383,357, $36,075,452)",37%,2022-2023,634462.0,545834.0,693759.0,32992000.0,28383357.0,36075452.0
57,Salernitana,Serie A,87,"€ 633,962 (£ 545,404, $693,212)","€ 32,966,000 (£ 28,360,990, $36,047,023)",49%,2022-2023,633962.0,545404.0,693212.0,32966000.0,28360990.0,36047023.0
58,Celta Vigo,La Liga,43,"€ 615,000 (£ 529,091, $672,478)","€ 31,980,000 (£ 27,512,725, $34,968,871)",88%,2022-2023,615000.0,529091.0,672478.0,31980000.0,27512725.0,34968871.0
59,Rennes,Ligue 1,53,"€ 597,692 (£ 514,201, $653,553)","€ 31,080,000 (£ 26,738,444, $33,984,757)",76%,2022-2023,597692.0,514201.0,653553.0,31080000.0,26738444.0,33984757.0
60,Sassuolo,Serie A,84,"€ 596,846 (£ 513,473, $652,628)","€ 31,036,000 (£ 26,700,590, $33,936,646)",25%,2022-2023,596846.0,513473.0,652628.0,31036000.0,26700590.0,33936646.0
