Rk,Squad,Comp,Num_Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG_plus_xAG,PrgC,PrgP,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,xG_per90,xAG_per90,xG_plus_xAG_per90,npxG_per90,npxG_plus_xAG_per90,Season
10.0,Auxerre,Ligue 1,33.0,27.3,43.3,38.0,418.0,3420.0,38.0,32.0,17.0,49.0,25.0,7.0,9.0,54.0,6.0,42.8,35.8,27.3,63.1,531.0,1284.0,0.84,0.45,1.29,0.66,1.11,1.13,0.72,1.84,0.94,1.66,2022-2023
11.0,Barcelona,La Liga,29.0,25.9,64.3,38.0,418.0,3420.0,38.0,69.0,56.0,125.0,69.0,0.0,2.0,84.0,6.0,75.5,74.0,60.1,134.1,963.0,2180.0,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53,2022-2023
12.0,Bayern Munich,Bundesliga,28.0,26.6,64.2,34.0,374.0,3060.0,34.0,90.0,67.0,157.0,87.0,3.0,5.0,49.0,3.0,75.0,71.0,56.6,127.7,863.0,2041.0,2.65,1.97,4.62,2.56,4.53,2.2,1.67,3.87,2.09,3.75,2022-2023
13.0,Betis,La Liga,30.0,28.6,50.6,38.0,418.0,3420.0,38.0,43.0,26.0,69.0,35.0,8.0,9.0,83.0,15.0,51.3,44.3,34.6,78.9,620.0,1272.0,1.13,0.68,1.82,0.92,1.61,1.35,0.91,2.26,1.17,2.08,2022-2023
14.0,Bochum,Bundesliga,26.0,29.4,46.1,34.0,374.0,3060.0,34.0,37.0,28.0,65.0,34.0,3.0,3.0,64.0,1.0,40.0,37.7,28.4,66.0,350.0,1022.0,1.09,0.82,1.91,1.0,1.82,1.18,0.83,2.01,1.11,1.94,2022-2023
15.0,Bologna,Serie A,27.0,26.6,54.7,38.0,418.0,3420.0,38.0,52.0,41.0,93.0,46.0,6.0,6.0,84.0,3.0,43.8,39.4,31.5,70.9,564.0,1366.0,1.37,1.08,2.45,1.21,2.29,1.15,0.83,1.98,1.04,1.87,2022-2023
16.0,Bournemouth,Premier League,31.0,26.3,40.4,38.0,418.0,3420.0,38.0,37.0,24.0,61.0,37.0,0.0,0.0,68.0,0.0,38.5,38.5,28.4,66.9,504.0,1006.0,0.97,0.63,1.61,0.97,1.61,1.01,0.75,1.76,1.01,1.76,2022-2023
17.0,Brentford,Premier League,25.0,26.2,43.8,38.0,418.0,3420.0,38.0,56.0,36.0,92.0,49.0,7.0,8.0,57.0,1.0,56.3,50.1,38.4,88.5,392.0,1131.0,1.47,0.95,2.42,1.29,2.24,1.48,1.01,2.49,1.32,2.33,2022-2023
18.0,Brest,Ligue 1,29.0,26.6,44.9,38.0,418.0,3420.0,38.0,43.0,28.0,71.0,36.0,7.0,8.0,63.0,2.0,43.4,37.1,29.5,66.7,592.0,1311.0,1.13,0.74,1.87,0.95,1.68,1.14,0.78,1.92,0.98,1.75,2022-2023
19.0,Brighton,Premier League,29.0,26.3,60.2,38.0,418.0,3420.0,38.0,68.0,46.0,114.0,62.0,6.0,6.0,58.0,0.0,73.3,68.9,52.2,121.2,809.0,1849.0,1.79,1.21,3.0,1.63,2.84,1.93,1.37,3.3,1.81,3.19,2022-2023
